,isbn,title,authors,published,description
284,9780190310745,Advanced Primary Maths 6 Australian Curriculum Edition,"[""Harry O'Brien""]",2017-10-04,"Advanced Primary Maths is an accelerated maths program that extends students vertically and horizontally in line with the achievement standards of the Australian Curriculum, the objectives of the NSW Mathematics Syllabus and the outcomes of the Victorian Curriculum.Advanced Primary Maths:is the only advanced maths series written for Australian primary studentsis written by a well-established author with a primary teaching backgroundfollows a spiral approach across 35 units of workaddresses all forms of problem solvingfeatures Term Planners, Find a Topic pages, AC/NSW/VIC Curriculum Cross-reference Charts, Open-ended Challengers, Super Problem Solving pages, Weekly Testers, Diagnostic Reviews and Answers."
285,9780725334642,New Improved Modern Cursive Handwriting 4,"['Gail Nightingale', 'Paul Nightingale']",2004,New Improved Modern Cursive Handwriting for Victoria is a popular series providing a structured approach to handwriting with full teacher support.
286,9780143505730,Natural Born Loser,['Oliver Phommavanh'],2018-07-30,"I'm Raymond, and my school is a joke. It's full of bullies and troublemakers. My solution? Be a nobody and fade into the background. But our new principal has blown my cover because he's chosen me as a prefect! It was looking pretty bad, until I made a crazy promise to get new air con for the classrooms. Now I'm REALLY in trouble!"
287,9780190310783,Jacaranda Atlas Ninth Edition EBookPLUS and Print,"['Raymond Pask', 'Jacaranda Staff', 'Lynne Griffiths', 'Jane Bellamy', 'Jill Price', 'Nicole Gray', 'John Ramsdale', 'Alex Rossimel']",2017-08-25,
288,9781925487459,My Wellbeing Journal Years 1 And 2,"[""Lauren O'Brien""]",2018-08-31,
289,9780141319001,Girl Underground,['Morris Gleitzman'],2004-06-07,"A story of friendship, courage and a bit of crime. Bridget wants a quiet life. Including, if possible, keeping her parents out of prison. Then a boy called Menzies makes her an offer she can't refuse, and they set off on a job of their own. It's a desperate, daring plan – to rescue two kids, Jamal and Bibi, from a desert detention centre. Can Bridget and Menzies pull off their very first jail break, or will they end up behind bars too? Sometimes, to help a friend, you have to dig deep."
290,9781741353402,Think Mentals Student Book 5,"['Chris Linthorne', 'Sandra Williams']",2015-05,
291,9780316382007,The Wild Robot,['Peter Brown'],2018-01-02,"Can a robot survive in the wilderness? A gloriously illustrated story from acclaimed author/illustrator Peter Brown When robot Roz opens her eyes for the first time, she discovers that she is alone on a remote, wild island. She has no idea how she got there or what her purpose is - but she knows she needs to survive. After battling a fierce storm and escaping a vicious bear attack, she realises that her only hope for survival is to adapt to her surroundings and learn from the island's unwelcoming animal inhabitants. As Roz slowly befriends the animals, the island starts to feel like home - until, one day, the robot's mysterious past comes back to haunt her. From bestselling and award-winning author and illustrator Peter Brown comes a heartwarming and action-packed novel about what happens when nature and technology collide. By turns funny, moving, surprising and dramatic, this is a novel that is as thought-provoking as it is enchanting."
292,9781741353501,Sound Waves Foundation Student Book,"['Barbara Murray', 'Terri Watson']",2018,
293,9781741351866,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
294,9781741351804,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
295,9781741351866,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
296,9781876028572,Targeting Maths,"['Gloria Harris', 'Garda Turner']",2004,
297,9781876028589,Targeting Maths,"['Gloria Harris', 'Garda Turner']",2004,
298,9781789181494,Managing Bee Health,['John Carr'],2021-08-15,"The crucial role that bees play in the Earth's ecosystem is well known. Over the last decades a dramatic decrease in bee health has been seen on a global scale. This deterioration is seen on a global scale in both domestic and wild bees, precipitating a wider ecological impact. Veterinarians, animal scientists and bee husbandry specialists increasingly need to be provided with the skills to investigate and understand the situation; Managing Bee Health aims to provide an overview of the health of bees at individual and hive level, covering common and emerging diseases and preventive measures. Beginning with an overall analysis of bee anatomy and physiology, then deals with the main diseases and pathogens of bees and colonies and how to treat and control their clinical impact. Providing insights on bee nutrition, insect interaction with flowering plants, and presenting helpful points of contact to report suspected conditions, such as the World Organisation for Animal Health (OIE). The book looks at the global pathogen status of bees, including not only the honeybee (Apis mellifera) but also other members of the Apis family.Managing Bee Health is a most useful guide for beekeepers, advisors, veterinarians and beekeeping enthusiasts, showing practical ways to understand bee health, treat sick or compromised hives and enhance the wellbeing and welfare of these wonderful creatures. John Carr B.V.Sc., Ph.D., D.P.M., DiplE.C.P.H.M., M.R.C.V.S, is a specialised population medicine veterinary surgeon. He has taught production medicine and bee medicine at several universities around the world. John also runs a consultancy practice with clients in the Americas, Europe, Asia, Australia and Africa."
299,9781107056060,Preventive Detention and the Democratic State,['Hallie Ludsin'],2016-01-08,"Preventive Detention and the Democratic State tracks the transformation of preventive detention from an emergency measure into an ordinary law enforcement tool in the democratic world. Historically, democracies used preventive detention only in the extraordinary circumstance in which the criminal justice system was impotent. They preferred criminal prosecution and its strict due process requirements to detaining people for a crime they may never commit. This book shows that major democracies have begun using detention as an insurance policy against dangerous people. In the process, they have embarked on a slippery slope that allows them to use preventive detention to bypass the criminal justice system. Already, detention has established a separate, inferior legal system for certain suspected criminals. Comparing preventive detention in India, England and the United States, the book brings to light its potentially dire consequences for the rule of law, due process rights and democratic principles based on the very real experiences of these countries."
300,9780190322830,Maths Plus Australian Curriculum Mentals and Homework Book 4 2020,"[""Harry O'Brien"", 'Greg Purcell']",2019-11-28,"The Maths Plus Australian Curriculum Mentals and Homework Book provides students in Year 4 with opportunities to practise and develop skills and strategies.The Mentals and Homework Books: provide essential revision and consolidation activitiesdirectly correspond to the concepts and units of work presented in the Student Books link all activities to the three Australian Curriculum: Mathematics strands of Number and Algebra, Measurement and Geometry, and Statistics and Probability."
301,9789620435942,輕鬆學漢語,['馬亞敏 (中國語文)'],2015-03,
302,9780190310783,Jacaranda Atlas Ninth Edition EBookPLUS and Print,"['Raymond Pask', 'Jacaranda Staff', 'Lynne Griffiths', 'Jane Bellamy', 'Jill Price', 'Nicole Gray', 'John Ramsdale', 'Alex Rossimel']",2017-08-25,
303,9789620435904,CHINESE MADE EASY FOR KIDS.,['MA. YAMIN'],2020,
304,9781920962425,New Wave Mental Maths,,2007,
305,9780190320263,Handwriting for Queensland Year 1,"['Debbie Croft', 'Deborah Davis', 'Maree Williams']",2010,
306,9781741353402,Think Mentals Student Book 5,"['Chris Linthorne', 'Sandra Williams']",2015-05,
307,9781741351866,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
308,9781925487251,Teaching guide,"[""Harry O'Brien"", 'Pat Lilburn', 'Greg Purcell']",2013,"Term planners, NSW Syllabus Outcomes cross-reference chart and topic index for planning and preparing. Corresponding teaching page for every Student Book page Annotated diagnostic review tests for assessment and analysis"
